Key,Description,en,fr
canopyFrame.003_954194,VR Interactable,Mirror,Miroir
joyInteractable_953200,VR Interactable,Joystick,Joystick
joyAdjustInteractable_955138,VR Interactable,Adjust Joystick,Ajuster Joystick
AdjLeftButton_952542,VR Interactable,Adjust Left,Ajuster Gauche
AdjRightButton_954950,VR Interactable,Adjust Right,Ajuster Droite
AdjFwdButton_954070,VR Interactable,Adjust Forward,Ajuster Avant
AdjBackButton_954494,VR Interactable,Adjust Back,Ajuster Arriere
AdjUpButton_956738,VR Interactable,Adjust Up,Ajuster Haut
AdjDownButton_955744,VR Interactable,Adjust Down,Ajuster Bas
ToggleAdjustJoyInteractable_952782,VR Interactable,Toggle Auto Adjust,Activer Ajustement Automatique
Text_955910,UI Text,AUTO,AUTO
throttleInteractable_956892,VR Interactable,Throttle,Gaz
ejectInteractable_952116,VR Interactable,Eject,Ejecter
ButtonText_952188,UI Text,"Recenter
seat","Recentrer 
Siege"
ButtonText_954848,UI Text,Restart,REDMARRER
ButtonText_954842,UI Text,"exit
mission","Quitter 
Mission"
ButtonText_955448,UI Text,"Quick
save","SAUVEGARDE 
RAPIDE"
ButtonText_953872,UI Text,Load,Charger
ButtonText_955618,UI Text,Save,Sauvegarder
helmVisorInteractable_955814,VR Interactable,Visor,Viseur
helmNVGInteractable_955816,VR Interactable,NVG,NVG
PendingText_955728,UI Text,in progress...,En cours...
CompleteText_953308,UI Text,COMPLETE,COMPLETE
MissionText_954156,UI Text,"MISSION
","MISSION
"
FailedText_955730,UI Text,FAILED,ECHEC
Handle_115524,VR Interactable,Scroll,Defiler
Text_952430,UI Text,Restart Mission,Recommencer Mission
ReturnButton_955218,VR Interactable,Return to Main,Retourner au Menu Principal
Text_952202,UI Text,Finish Mission,Terminer Mission
ToggleLogButton_953462,VR Interactable,Toggle Flight Log,Activer Journal de Vol
Text_956176,UI Text,Show/Hide Flight Log,Afficher/Cacher Journal de Vol
ContinueFlightButton_954168,VR Interactable,Continue Flight,Continuer Vol
Text_956284,UI Text,Flight log,Journal de Vol
UpIcon_954544,VR Interactable,Scroll Up,Defiler Haut
DnIcon_955334,VR Interactable,Scroll Down,Defiler Bas
BottomIcon_954644,VR Interactable,To Bottom,Vers le Bas
SaveToDiskText_952718,VR Interactable,Save Flight Log,Sauvegarder Journal de Vol
completionTimeLabel_1297772,UI Text,Completion Time:,Temps de Completion :
visorButtonInteractable_955012,VR Interactable,Toggle Visor,Activer Viseur
nvgButtonInteractable_954948,VR Interactable,Toggle NVG,Activer NVG
HUDTintKnob_954844,VR Interactable,HUD Tint,Teinte HUD
MasterCautionInteractable_955266,VR Interactable,Clear Cautions,Effacer Avertissements
AltitudeModeInteractable_954586,VR Interactable,Toggle Altitude Mode,Activer Mode Altitude
ClrWptButton_956888,VR Interactable,Clear Waypoint,Effacer Waypoint
headingAPButton_956800,VR Interactable,Heading Hold,Maintien Cap
altitudeAPButton_952938,VR Interactable,Altitude Hold,Maintien Altitude
speedAPButton_-3021126,VR Interactable,Airspeed Hold,Maintien Vitesse
offAPButton_953862,VR Interactable,All AP Off,Tous AP Off
navAPButton_953656,VR Interactable,Navigation Mode,Mode Navigation
hudPowerInteractable_952146,VR Interactable,HUD Power,Puissance HUD
hmcsPowerInteractable_952122,VR Interactable,HMCS Power,Puissance HMCS
HUDBrightKnob_952800,VR Interactable,HUD Brightness,Luminosite HUD
DeclutterKnob_535224,VR Interactable,HUD Declutter,Desencombrement HUD
MFDBrightnessKnob_955120,VR Interactable,MFD Brightness,Luminosite MFD
mfdSwapButton_-23972,VR Interactable,Swap MFDs,Echanger MFDs
leftEngineSwitchInteractable_954450,VR Interactable,Left Engine,Moteur Gauche
coverSwitchInteractable_leftEngine_955432,VR Interactable,Switch Cover (Left Engine),Couverture Interrupteur (Moteur Gauche)
rightEngineSwitchInteractable_954616,VR Interactable,Right Engine,Moteur Droit
coverSwitchInteractable_rightEngine_954968,VR Interactable,Switch Cover (Right Engine),Couverture Interrupteur (Moteur Droit)
apuSwitchInteractable_954938,VR Interactable,Auxilliary Power,Alimentation Auxiliaire
coverSwitchInteractable_apuSwitch_957054,VR Interactable,Switch Cover (APU),Couverture Interrupteur (APU)
mainBattSwitchInteractable_956298,VR Interactable,Main Battery,Batterie Principale
CanopyInteractable_955182,VR Interactable,Canopy,Canopy
GearInteractable_952278,VR Interactable,Landing Gear,Train d'Atterrissage
FlapsInteractable_954972,VR Interactable,Flaps,Volets
HookInteractable_952960,VR Interactable,Arrestor Hook,Crochet d'Atterrissage
CatHookInteractable_953160,VR Interactable,Launch Bar,Barre de Lancement
MasterJettisonButtonInteractable_953496,VR Interactable,Jettison,Ejection
