Key,Description,en,fr
DemoText_746066,UI Text,DEMO,DEMO
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,Selectionner Pilote Existant
Text_742314,UI Text,Select Pilot,Selectionner Pilote
NewPilotButton_745346,VR Interactable,Create New Pilot,Creer Nouveau Pilote
Text_742072,UI Text,New Pilot,Nouveau Pilote
QuitButton_740624,VR Interactable,Quit Game,Quitter Jeu
Text_742474,UI Text,QUIT,QUITTER
SettingsButton_747456,VR Interactable,Settings,Parametres
Text_740102,UI Text,"Settings
","Parametres
"
CreditsButton_-102322,VR Interactable,Game Credits,Credits du Jeu
Text_726044,UI Text,Credits,Credits
VTOL VR (1)_747232,UI Text,VTEDIT,VTEDIT
EditorButton_743918,VR Interactable,Mission Editor,Editeur de Mission
MapEditorButton_747578,VR Interactable,Map Editor,Editeur de Carte
VTEDIT (1)_729932,UI Text,VT,VT
VTOL VR_744834,UI Text,VTOL VR,VTOL VR
Text_ACReadyToFly,UI Text,Ready to fly?,Pret a voler ?
Text_AC_SelectVehicle,UI Text,Select Vehicle,Selectionner Vehicule
Text_ACNewPilot,UI Text,New Pilot?,Nouveau Pilote ?
Tutorials Button_-4966024,VR Interactable,Tutorials,Tutoriels
Text_ACTutorial,UI Text,Tutorial,Tutoriel
Label_514208,UI Text,Pilot Name:,Nom du Pilote :
EditNameButton_745868,VR Interactable,Edit Name,Modifier Nom
Text_743158,UI Text,Edit name,Modifier nom
BackButton_744184,VR Interactable,Back To Main,Retour au Menu Principal
Text_742734,UI Text,Back,Retour
StartButton_745400,VR Interactable,Start New Pilot,Commencer Nouveau Pilote
Text_744692,UI Text,Start,Commencer
InvalidName_740436,UI Text,[ Invalid Name ],[ Nom Invalide ]
DeleteButton_740016,VR Interactable,Delete Pilot,Supprimer Pilote
PILOTS_745628,UI Text,Pilots,Pilotes
NextPilotButton_747706,VR Interactable,Next Pilot,Pilote Suivant
PrevPilotButton_741810,VR Interactable,Previous Pilot,Pilote Precedent
AreYouSure_743668,UI Text,Are you sure you want to delete?,Etes-vous sur de vouloir supprimer ?
Text_740860,UI Text,"Yes, Delete","Oui, Supprimer"
NoDeleteButton_743870,VR Interactable,Cancel Delete,Annuler Suppression
Text_745554,UI Text,"No, keep","Non, garder"
PILOTS_740912,UI Text,NO PILOTS,AUCUN PILOTE
PilotName_742564,UI Text,BDynamics,BDynamics
Pilot name_744616,UI Text,Pilot name,Nom du Pilote
EditPilotColorsButton_741944,VR Interactable,Edit Colors,Modifier Couleurs
WorkshopBrowserButton_747088,VR Interactable,Steam Workshop Browser,Navigateur Steam Workshop
