Key,Description,en,fr
Mk-82AIR High Drag Bomb x3_fullName,Full equip name of: Mk-82AIR High Drag Bomb x3,Mk-82AIR High Drag Bomb x3,Mk-82AIR Bombe a haute trainee x3
Mk-82AIR High Drag Bomb x3_description,Item description of: Mk-82AIR High Drag Bomb x3,Standard un-guided 500lb bombs. Deploys an inflatable drag chute to slow descent for low altitude bombing.,Bombes standard non guidees de 500 lb. Deploie un parachute de freinage gonflable pour ralentir la descente lors des bombardements a basse altitude.
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,BOMBE
ON,,ON,ON
OFF,,OFF,OFF
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,ZONE DE LARGAGE
SALVO,,SALVO,SALVE
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE","LOW G
PAS DE LARGAGE"
s_ccrpAuto,,CCRP AUTO,CCRP AUTO
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,MK-82AIR x32
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,Un rack de 32 bombes a haute trainee MK-82AIR.
Hydra-70 x7 Rocket Pod_fullName,Full equip name of: Hydra-70 x7 Rocket Pod,Hydra-70 x7 Rocket Pod,Hydra-70 x7 Pod de roquettes
Hydra-70 x7 Rocket Pod_description,Item description of: Hydra-70 x7 Rocket Pod,"A pod carrying a total of 7 high explosive rockets. Can be fired in single shot mode, or rapid fire (ripple).",Un pod contenant un total de 7 roquettes explosives. Peut etre tire en mode coup par coup ou en tir rapide (salve).
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,ROQUETTE
s_rocket_salvo,Rocket launcher salvo option,SALVO,SALVE
SB-1 Bomb x3_fullName,Full equip name of: SB-1 Bomb x3,SB-1 Bomb x3,SB-1 Bombe x3
SB-1 Bomb x3_description,Item description of: SB-1 Bomb x3,Standard un-guided 500lb bombs.,Bombes standard non guidees de 500 lb.
ASRM-93 x2_fullName,Full equip name of: ASRM-93 x2,ASRM-93 x2,ASRM-93 x2
ASRM-93 x2_description,Item description of: ASRM-93 x2,Heat seeking short range air to air missiles. Internally stowed.,Missiles air-air a courte portee a guidage thermique. Ranges a l'interieur.
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,MODE DE RECHERCHE
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,TRIGGER DEVERROUILLAGE
s_seekerMode_0,Label for heatseeker mode,Caged,BLOQUE
s_seekerMode_1,Label for heatseeker mode,Uncaged,DEVERROUILLE
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,Recherche verticale
s_seekerMode_3,Label for heatseeker mode,Head Track,Suivi de tete
s_seekerMode_4,Label for heatseeker mode,Hard Lock,Blocage dur
Mk.83 Bomb x1_fullName,Full equip name of: Mk.83 Bomb x1,Mk.83 Bomb x1,Mk.83 Bombe x1
Mk.83 Bomb x1_description,Item description of: Mk.83 Bomb x1,Standard un-guided 1000lb bomb.,Bombe standard non guidee de 1000 lb.
s_cms_rate_single,CMS release rate - single fire mode,Single,Simple
s_cms_rMode_0,CMS release mode,Single Auto,Simple Auto
s_cms_rMode_1,CMS release mode,Single L,Simple Gauche
s_cms_rMode_2,CMS release mode,Single R,Simple Droite
s_cms_rMode_3,CMS release mode,Double,Double
GBU-12 Laser Guided Bomb x3_fullName,Full equip name of: GBU-12 Laser Guided Bomb x3,GBU-12 Laser Guided Bomb x3,GBU-12 Bombe guidee par laser x3
GBU-12 Laser Guided Bomb x3_description,Item description of: GBU-12 Laser Guided Bomb x3,A rack of three 500lb laser guided bomb.,Un rack de trois bombes guidees par laser de 500 lb.
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,BOMBE LASER
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,MODE CIBLE
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,LOAL
s_lgbMode_0,Laser guided bomb targeting mode,LASER,LASER
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,LARGAGE
BSM-66_fullName,Full equip name of: BSM-66,BSM-66,BSM-66
BSM-66_description,Item description of: BSM-66,Standard radar-guided missile.,Missile standard guide par radar.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,RG25 Canons jumeaux a revolvants
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,Canons jumeaux revolvants de 25 mm.
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,CANON
GBU-38 Bomb x4_fullName,Full equip name of: GBU-38 Bomb x4,GBU-38 Bomb x4,GBU-38 Bombe x4
