Key,Description,en,fr
Icon_734792,VR Interactable,Show Info,Afficher Info
Text_734764,UI Text,Info,Info
ButtonUp_734786,VR Interactable,Vote Up,Voter Positif
ButtonDown_734790,VR Interactable,Vote Down,Voter Negatif
Button_734788,VR Interactable,Favorite,Favoris
ButtonActive_734758,VR Interactable,Unfavorite,Non Favoris
Button_734784,VR Interactable,Subscribe & Download,S'abonner et Telecharger
Text_734748,UI Text,ADD,AJOUTER
ButtonActive_734798,VR Interactable,Remove Subscription,Supp l'Abonnement
Text (1)_734794,UI Text,REMOVE,SUPPRIMER
ButtonPlay_734746,VR Interactable,Play,Jouer
